id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1130,2049,0,20180129,20180130,20180131,20180209,
1393,2306,1,20180302,20180302,,,20180303
1435,2306,1,20180312,20180312,,,20180313
1388,2306,2,20180320,20180320,,,20180321
1434,2306,13,20180416,20180416,,,20180417
1594,2306,0,20180425,20180425,20180426,20180502,
1024,2307,0,20180115,20180115,20180117,20180122,
1103,2308,0,20180115,20180115,20180122,20180129,
1212,2309,0,20180309,20180309,20180315,20180320,
1338,2310,1,20180320,20180320,,,20180321
1395,2310,6,20180403,20180403,,,20180404
1375,2310,6,20180404,20180404,,,20180405
1046,2310,0,20180101,20180102,20180103,20180105,
1487,2312,2,20180221,20180221,,,20180222
1314,2312,16,20180226,20180227,,,20180227
1198,2312,0,20180302,20180303,20180307,20180313,
1219,2313,0,20180312,20180312,20180315,20180320,
1348,2314,0,20180404,20180404,,,
1554,2314,16,20180502,20180502,,,20180503
1266,2315,0,20180410,20180411,20180412,20180416,
1082,2316,0,20180115,20180116,20180118,20180122,
1521,2317,16,20180116,20180117,,,20180117
1133,2317,0,20180201,20180202,20180206,20180209,
1368,2318,1,20180223,20180223,,,20180224
1486,2318,1,20180305,20180306,,,20180306
1221,2318,0,20180309,20180309,20180315,20180320,
1317,2318,16,20180309,20180311,,,20180310
1220,2319,0,20180312,20180313,20180315,20180320,
1344,2319,1,20180312,20180313,,,20180313
1477,2319,16,20180312,20180313,,,20180313
1340,2320,1,20180313,20180314,,,20180314
1343,2320,2,20180313,20180314,,,20180314
1210,2320,0,20180315,20180315,20180316,20180320,
1238,2321,0,20180320,20180322,20180329,20180402,
1237,2322,0,20180326,20180327,20180329,20180402,
1311,2323,1,20180416,20180417,,,20180417
1579,2323,1,20180425,20180425,,,20180426
1578,2323,1,20180425,20180427,,,20180426
1080,2324,0,20180112,20180112,20180118,20180122,
1090,2325,0,20180116,20180116,20180119,20180123,
1534,2325,5,20180116,20180117,,,20180117
1377,2326,1,20180131,20180201,,,20180201
1128,2326,0,20180201,20180203,20180201,20180206,
1347,2327,16,20180302,20180303,,,20180303
1413,2327,2,20180313,20180315,,,20180314
1333,2327,2,20180323,20180324,,,20180324
1426,2327,5,20180323,20180325,,,20180324
1321,2327,1,20180404,20180405,,,20180405
1252,2328,0,20180404,20180407,20180406,20180410,
1543,2329,2,20180410,20180411,,,20180411
1260,2329,0,20180411,20180412,20180412,20180416,
1383,2330,5,20180426,20180426,,,20180427
1044,2330,0,20181228,20181228,20181229,20180102,
1054,2331,0,20180101,20180102,,20180109,
1071,2331,0,20180101,20180102,20180112,20180116,
1174,2333,0,20180220,20180220,20180228,20180305,
1319,2334,16,20180226,20180226,,,20180227
1164,2335,1,20180219,20180220,20180222,20180126,20180220
1120,2336,0,20180129,20180201,20180131,20180202,
1530,2337,1,20180115,20180115,,,20180116
1458,2338,16,20180119,20180119,,,20180120
1492,2338,16,20180208,20180208,,,20180209
1154,2338,0,20180214,20180214,20180216,20180220,
1169,2339,0,20180220,20180220,20180223,20180226,
1038,2340,0,20180228,20180228,20180308,20180313,
1551,2341,2,20180503,20180505,,,20180504
1075,2342,0,20180101,20180102,20180112,20180116,
1099,2343,0,20180122,20180123,20180123,20180129,
1372,2344,1,20180221,20180222,,,20180222
1194,2344,0,20180302,20180302,20180309,20180313,
1206,2345,0,20180306,20180306,20180313,20180316,
1035,2346,0,20180323,20180324,20180328,20180402,
1585,2347,0,20180427,20180428,20180503,20180507,
1064,2348,0,20180101,20180102,,20180112,
1153,2349,0,20180214,20180214,20180215,20180220,
1203,2350,0,20180312,20180312,20180314,20180316,
1214,2350,0,20180312,20180312,20180315,20180320,
1469,2352,2,20180129,20180131,,,20180130
1490,2352,1,20180223,20180223,,,20180224
1402,2353,1,20180130,20180130,,,20180131
1131,2353,0,20180202,20180202,20180206,20180209,
1322,2354,0,20180221,#VALUE!,20180223,20180227,
1327,2355,0,20180306,20180307,20180309,20180313,
1335,2356,9,20180315,20180316,,,20180316
1279,2356,0,20180413,20180414,20180417,20180420,
1115,2357,0,20180129,20180131,20180131,20180202,
1320,2358,2,20180222,20180223,,,20180223
1196,2358,0,20180308,20180308,20180308,20180313,
1541,2359,4,20180404,20180405,,,20180405
1303,2359,0,20180420,20180420,20180424,20180430,
1603,2360,0,20180426,20180427,20180427,20180503,
1117,2361,0,20180123,20180124,20180131,20180202,
1138,2362,0,20180206,20180206,20180208,20180212,
1171,2363,0,20180221,20180222,20180223,20180227,
1173,2363,0,20180221,20180223,20180302,20180305,
1415,2365,13,20180423,20180423,,,20180424
1577,2365,0,20180502,20180503,20180503,20180508,
1470,2366,15,20180129,20180129,,,20180130
1033,2366,0,20180131,20180201,20180208,20180213,
1472,2367,13,20180301,20180302,,,20180302
1265,2367,0,20180411,20180412,20180412,20180416,
1559,2368,0,20180413,20180415,,,
1550,2368,0,20180430,20180430,20180504,20180509,
1062,2369,0,20180101,20180101,20180109,20180112,
1076,2369,0,20180101,20180102,,20180116,
1305,2371,10,20180129,20180129,,,20180130
1027,2371,0,20180206,20180206,20180209,20180215,
